17:57:57.316 INFO  c.g.labjava.aspect.LoggingAspect - Aspect is initialized
17:58:00.795 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllPlayers(); args: []
17:58:01.105 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllPlayers is returned; value: [PlayerDto(id=20, username=Chefshouse, name=Ding Liren, countryId=18, championshipIds=[12, 13]), PlayerDto(id=21, username=lachesisq, name=Ian Nepomniachtchi, countryId=12, championshipIds=[13, 14]), PlayerDto(id=22, username=magnuscarlsen, name=Magnus Carlsen, countryId=13, championshipIds=[16, 17, 14, 15]), PlayerDto(id=23, username=fabianocaruana, name=Fabiano Caruana, countryId=14, championshipIds=[15]), PlayerDto(id=24, username=sergeykarjakin, name=Sergey Karjakin, countryId=12, championshipIds=[16]), PlayerDto(id=25, username=thevish, name=Viswanathan Anand, countryId=15, championshipIds=[17])]
17:58:12.669 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllChampionships(); args: []
17:58:12.705 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllChampionships is returned; value: [ChampionshipDto(id=12, year=2024, place=Toronto, Canada, playerIds=[20]), ChampionshipDto(id=13, year=2023, place=Astana, Kazakhstan, playerIds=[20, 21]), ChampionshipDto(id=14, year=2021, place=Dubai, United Arab Emirates, playerIds=[21, 22]), ChampionshipDto(id=15, year=2018, place=Holborn, London, UK, playerIds=[22, 23]), ChampionshipDto(id=16, year=2016, place=New York City, United States, playerIds=[22, 24]), ChampionshipDto(id=17, year=2014, place=Sochi, Russia, playerIds=[22, 25])]
17:59:15.929 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllCountries(); args: []
17:59:15.956 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllCountries is returned; value: [CountryDto(id=12, name=Russia, code=RU, playerIds=[21, 24]), CountryDto(id=13, name=Norway, code=NO, playerIds=[22]), CountryDto(id=14, name=United States, code=US, playerIds=[23]), CountryDto(id=15, name=India, code=IN, playerIds=[25]), CountryDto(id=16, name=Israel, code=IL, playerIds=[]), CountryDto(id=17, name=Bulgaria, code=BG, playerIds=[]), CountryDto(id=18, name=China, code=CN, playerIds=[20])]
17:59:20.508 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllChampionships(); args: []
17:59:20.532 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllChampionships is returned; value: [ChampionshipDto(id=12, year=2024, place=Toronto, Canada, playerIds=[20]), ChampionshipDto(id=13, year=2023, place=Astana, Kazakhstan, playerIds=[20, 21]), ChampionshipDto(id=14, year=2021, place=Dubai, United Arab Emirates, playerIds=[21, 22]), ChampionshipDto(id=15, year=2018, place=Holborn, London, UK, playerIds=[22, 23]), ChampionshipDto(id=16, year=2016, place=New York City, United States, playerIds=[22, 24]), ChampionshipDto(id=17, year=2014, place=Sochi, Russia, playerIds=[22, 25])]
18:00:26.446 INFO  c.g.labjava.aspect.LoggingAspect - Called method deleteChampionship(); args: [17]
18:00:26.583 INFO  c.g.labjava.aspect.LoggingAspect - Method deleteChampionship is returned; value: null
18:00:29.174 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllPlayers(); args: []
18:00:29.195 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllPlayers is returned; value: [PlayerDto(id=20, username=Chefshouse, name=Ding Liren, countryId=18, championshipIds=[12, 13]), PlayerDto(id=21, username=lachesisq, name=Ian Nepomniachtchi, countryId=12, championshipIds=[13, 14]), PlayerDto(id=22, username=magnuscarlsen, name=Magnus Carlsen, countryId=13, championshipIds=[16, 14, 15]), PlayerDto(id=23, username=fabianocaruana, name=Fabiano Caruana, countryId=14, championshipIds=[15]), PlayerDto(id=24, username=sergeykarjakin, name=Sergey Karjakin, countryId=12, championshipIds=[16])]
18:00:42.262 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllCountries(); args: []
18:00:42.286 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllCountries is returned; value: [CountryDto(id=12, name=Russia, code=RU, playerIds=[21, 24]), CountryDto(id=13, name=Norway, code=NO, playerIds=[22]), CountryDto(id=14, name=United States, code=US, playerIds=[23]), CountryDto(id=15, name=India, code=IN, playerIds=[]), CountryDto(id=16, name=Israel, code=IL, playerIds=[]), CountryDto(id=17, name=Bulgaria, code=BG, playerIds=[]), CountryDto(id=18, name=China, code=CN, playerIds=[20])]
18:00:47.124 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllChampionships(); args: []
18:00:47.143 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllChampionships is returned; value: [ChampionshipDto(id=12, year=2024, place=Toronto, Canada, playerIds=[20]), ChampionshipDto(id=13, year=2023, place=Astana, Kazakhstan, playerIds=[20, 21]), ChampionshipDto(id=14, year=2021, place=Dubai, United Arab Emirates, playerIds=[21, 22]), ChampionshipDto(id=15, year=2018, place=Holborn, London, UK, playerIds=[22, 23]), ChampionshipDto(id=16, year=2016, place=New York City, United States, playerIds=[22, 24])]
18:27:23.136 INFO  c.g.labjava.aspect.LoggingAspect - Called method deleteChampionship(); args: [16]
18:27:23.158 INFO  c.g.labjava.aspect.LoggingAspect - Method deleteChampionship is returned; value: null
18:27:27.260 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllChampionships(); args: []
18:27:27.294 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllChampionships is returned; value: [ChampionshipDto(id=12, year=2024, place=Toronto, Canada, playerIds=[20]), ChampionshipDto(id=13, year=2023, place=Astana, Kazakhstan, playerIds=[20, 21]), ChampionshipDto(id=14, year=2021, place=Dubai, United Arab Emirates, playerIds=[21, 22]), ChampionshipDto(id=15, year=2018, place=Holborn, London, UK, playerIds=[22, 23])]
18:27:32.292 INFO  c.g.labjava.aspect.LoggingAspect - Called method getAllPlayers(); args: []
18:27:32.313 INFO  c.g.labjava.aspect.LoggingAspect - Method getAllPlayers is returned; value: [PlayerDto(id=20, username=Chefshouse, name=Ding Liren, countryId=18, championshipIds=[12, 13]), PlayerDto(id=21, username=lachesisq, name=Ian Nepomniachtchi, countryId=12, championshipIds=[13, 14]), PlayerDto(id=22, username=magnuscarlsen, name=Magnus Carlsen, countryId=13, championshipIds=[14, 15]), PlayerDto(id=23, username=fabianocaruana, name=Fabiano Caruana, countryId=14, championshipIds=[15])]
